Newfoundland and Labrador,Average hourly wage rate,Total employees,"Clerical occupations, including supervisors [B4-B5] ",Both sexes,15 years and over,22.48,21.38,21.97,21.78,22.61
Newfoundland and Labrador,Average hourly wage rate,Total employees,Natural and applied sciences and related occupations [C] ,Both sexes,15 years and over,29.02,28.07,29.34,28.99,31.9
Newfoundland and Labrador,Average hourly wage rate,Total employees,Health occupations [D] ,Both sexes,15 years and over,23.34,20.55,21.08,21.32,22.26
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Professional occupations in health, nurse supervisors and registered nurses [D0-D1] ",Both sexes,15 years and over,20.34,19.78,20.37,19.97,20.47
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Technical, assisting and related occupations in health [D2-D3] ",Both sexes,15 years and over,32.96,32.22,35.11,34.55,34.67
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Occupations in social science, education, government service and religion [E] ",Both sexes,15 years and over,29.75,29.31,29.16,30.83,29.81
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Occupations in social science, government service and religion [E0 E2] ",Both sexes,15 years and over,36.43,36.06,34.8,37.16,36.51
Newfoundland and Labrador,Average hourly wage rate,Total employees,Teachers and professors [E1 E130]  (9),Both sexes,15 years and over,22.07,21.16,22.25,22.15,22.26
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Occupations in art, culture, recreation and sport [F] ",Both sexes,15 years and over,36.64,36.09,34.55,34.9,32.02
Newfoundland and Labrador,Average hourly wage rate,Total employees,Sales and service occupations [G]  (8),Both sexes,15 years and over,34.35,33.38,32.15,29.59,27.13
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers [G1] ",Both sexes,15 years and over,39.23,39.19,36.94,39.96,36.71
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Retail salespersons, sales clerks, cashiers, including retail trade supervisors [G011 G2-G3] ",Both sexes,15 years and over,20.64,19.11,23.79,23.17,21.18
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Chefs and cooks, and occupations in food and beverage service, including supervisors [G012 G4-G5] ",Both sexes,15 years and over,15.57,15.67,15.78,16.14,15.84
Newfoundland and Labrador,Average hourly wage rate,Total employees,Occupation in protective services [G6] ,Both sexes,15 years and over,25.14,23.84,24.66,27.68,29.49
Newfoundland and Labrador,Average hourly wage rate,Total employees,Childcare and home support workers [G8] ,Both sexes,15 years and over,14.27,14.16,13.56,14,13.77
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Sales and service occupations not elsewhere classified, including occupations in travel and accommodation, attendants in recreation and sport as well as supervisors [G013-G016 G7 G9] ",Both sexes,15 years and over,14.49,15.38,15.65,15.66,14.43
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Trades, transport and equipment operators and related occupations [H] ",Both sexes,15 years and over,23.86,21.96,27.02,27.64,28.99
Newfoundland and Labrador,Average hourly wage rate,Total employees,Contractors and supervisors in trades and transportation [H0] ,Both sexes,15 years and over,14.19,14.65,14.76,13.75,13.44
Newfoundland and Labrador,Average hourly wage rate,Total employees,Construction trades [H1] ,Both sexes,15 years and over,14.81,15.35,15.13,15.59,15.18
Newfoundland and Labrador,Average hourly wage rate,Total employees,Other trades occupations [H2-H5] ,Both sexes,15 years and over,25.7,26.75,26.77,26.49,26.5
Newfoundland and Labrador,Average hourly wage rate,Total employees,Transport and equipment operators [H6-H7] ,Both sexes,15 years and over,34.02,35.22,33.4,36.03,35.84
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Trades helpers, construction, and transportation labourers and related occupations [H8] ",Both sexes,15 years and over,24.91,25.05,26.3,25.86,24.55
Newfoundland and Labrador,Average hourly wage rate,Total employees,Occupations unique to primary industry [I] ,Both sexes,15 years and over,28.27,29.14,29.14,29.8,29.72
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Occupations unique to processing, manufacturing and utilities [J] ",Both sexes,15 years and over,22.69,24.51,23.05,22.4,23
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Machine operators and assemblers in manufacturing, including supervisors [J0-J2] ",Both sexes,15 years and over,20.65,19.96,21.94,18.41,18.23
Newfoundland and Labrador,Average hourly wage rate,Total employees,"Labourers in processing, manufacturing and utilities [J3] ",Both sexes,15 years and over,25.37,27.05,25.52,25.68,26.76
Prince Edward Island,Average hourly wage rate,Total employees,"Total employees, all occupations (7)",Both sexes,15 years and over,23.69,26.59,25.79,23.87,24.62
Prince Edward Island,Average hourly wage rate,Total employees,Management occupations [A] ,Both sexes,15 years and over,24.48,28.67,28.06,24.76,25.66
Prince Edward Island,Average hourly wage rate,Total employees,Senior management occupations [A0] ,Both sexes,15 years and over,20.27,17.19,17.1,20.62,21.35
Prince Edward Island,Average hourly wage rate,Total employees,Other management occupations [A1-A3] ,Both sexes,15 years and over,20.13,20.15,20.42,20.96,21.19
Prince Edward Island,Average hourly wage rate,Total employees,"Business, finance and administrative occupations [B] ",Both sexes,15 years and over,30.53,31.56,29.18,31.28,31.95
Prince Edward Island,Average hourly wage rate,Total employees,Professional occupations in business and finance [B0] ,Both sexes,15 years and over,46.4,43.2,x,40.42,49.76
Prince Edward Island,Average hourly wage rate,Total employees,"Financial, secretarial and administrative occupations [B1-B3] ",Both sexes,15 years and over,29.39,30.44,28.63,30.52,30.48
Prince Edward Island,Average hourly wage rate,Total employees,"Clerical occupations, including supervisors [B4-B5] ",Both sexes,15 years and over,20.71,21.16,20.85,19.96,19.62
Prince Edward Island,Average hourly wage rate,Total employees,Natural and applied sciences and related occupations [C] ,Both sexes,15 years and over,30.34,31.59,33.33,29.67,28.08
Prince Edward Island,Average hourly wage rate,Total employees,Health occupations [D] ,Both sexes,15 years and over,19.72,20.46,19.52,19.9,19.69
Prince Edward Island,Average hourly wage rate,Total employees,"Professional occupations in health, nurse supervisors and registered nurses [D0-D1] ",Both sexes,15 years and over,18.98,18.73,18.64,18,17.89
Prince Edward Island,Average hourly wage rate,Total employees,"Technical, assisting and related occupations in health [D2-D3] ",Both sexes,15 years and over,27.66,26.78,25.88,28.15,29.08
Prince Edward Island,Average hourly wage rate,Total employees,"Occupations in social science, education, government service and religion [E] ",Both sexes,15 years and over,25.93,25.97,26.81,26.65,27.57
Prince Edward Island,Average hourly wage rate,Total employees,"Occupations in social science, government service and religion [E0 E2] ",Both sexes,15 years and over,33.31,34.7,34.04,33.6,33.72
Prince Edward Island,Average hourly wage rate,Total employees,Teachers and professors [E1 E130]  (9),Both sexes,15 years and over,20.3,19.76,20.34,20.21,21.93
Prince Edward Island,Average hourly wage rate,Total employees,"Occupations in art, culture, recreation and sport [F] ",Both sexes,15 years and over,27.66,26.97,27.14,28.72,28.63
Prince Edward Island,Average hourly wage rate,Total employees,Sales and service occupations [G]  (8),Both sexes,15 years and over,26.07,25.57,25.37,25.25,24.31
Prince Edward Island,Average hourly wage rate,Total employees,"Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers [G1] ",Both sexes,15 years and over,29.58,28.59,28.85,32.09,33.31
Prince Edward Island,Average hourly wage rate,Total employees,"Retail salespersons, sales clerks, cashiers, including retail trade supervisors [G011 G2-G3] ",Both sexes,15 years and over,19.29,21.22,25.54,25.33,23.18
Prince Edward Island,Average hourly wage rate,Total employees,"Chefs and cooks, and occupations in food and beverage service, including supervisors [G012 G4-G5] ",Both sexes,15 years and over,14.31,14.3,14.71,14.45,14.9
Prince Edward Island,Average hourly wage rate,Total employees,Occupation in protective services [G6] ,Both sexes,15 years and over,23.16,20.72,21.33,18.62,20.6
Prince Edward Island,Average hourly wage rate,Total employees,Childcare and home support workers [G8] ,Both sexes,15 years and over,14.55,14,13.79,13.3,14.19
Prince Edward Island,Average hourly wage rate,Total employees,"Sales and service occupations not elsewhere classified, including occupations in travel and accommodation, attendants in recreation and sport as well as supervisors [G013-G016 G7 G9] ",Both sexes,15 years and over,13.19,14.01,13.6,14.07,13.34
Prince Edward Island,Average hourly wage rate,Total employees,"Trades, transport and equipment operators and related occupations [H] ",Both sexes,15 years and over,17.41,17.24,21.47,19.41,22.26
Prince Edward Island,Average hourly wage rate,Total employees,Contractors and supervisors in trades and transportation [H0] ,Both sexes,15 years and over,21.55,19.31,18.02,20.25,20.56
Prince Edward Island,Average hourly wage rate,Total employees,Construction trades [H1] ,Both sexes,15 years and over,13.03,13.23,13.89,13.77,13.87
Prince Edward Island,Average hourly wage rate,Total employees,Other trades occupations [H2-H5] ,Both sexes,15 years and over,17.86,17.63,18.38,19.8,20.02
Prince Edward Island,Average hourly wage rate,Total employees,Transport and equipment operators [H6-H7] ,Both sexes,15 years and over,24.56,23,18.78,24.55,22
Prince Edward Island,Average hourly wage rate,Total employees,"Trades helpers, construction, and transportation labourers and related occupations [H8] ",Both sexes,15 years and over,18.47,17.75,18.24,19.9,20.11
Prince Edward Island,Average hourly wage rate,Total employees,Occupations unique to primary industry [I] ,Both sexes,15 years and over,18.78,18.68,20.84,21.32,21.53
Prince Edward Island,Average hourly wage rate,Total employees,"Occupations unique to processing, manufacturing and utilities [J] ",Both sexes,15 years and over,17.27,16.5,17.57,18.89,19.5
Prince Edward Island,Average hourly wage rate,Total employees,"Machine operators and assemblers in manufacturing, including supervisors [J0-J2] ",Both sexes,15 years and over,15.1,15.26,14.83,15,16.27
Prince Edward Island,Average hourly wage rate,Total employees,"Labourers in processing, manufacturing and utilities [J3] ",Both sexes,15 years and over,14.76,15.04,15.46,18.09,16.23
Nova Scotia,Average hourly wage rate,Total employees,"Total employees, all occupations (7)",Both sexes,15 years and over,15.9,15.72,15.75,16.24,16.46
Nova Scotia,Average hourly wage rate,Total employees,Management occupations [A] ,Both sexes,15 years and over,16.28,16.31,16.79,17.59,18.46
Nova Scotia,Average hourly wage rate,Total employees,Senior management occupations [A0] ,Both sexes,15 years and over,14.82,13.96,13.82,14.17,13.83
Nova Scotia,Average hourly wage rate,Total employees,Other management occupations [A1-A3] ,Both sexes,15 years and over,22.01,22.27,22.39,22.45,22.42
Nova Scotia,Average hourly wage rate,Total employees,"Business, finance and administrative occupations [B] ",Both sexes,15 years and over,36.73,36.04,36.77,36.28,35.85
Nova Scotia,Average hourly wage rate,Total employees,Professional occupations in business and finance [B0] ,Both sexes,15 years and over,x,48.87,38.03,48.05,39.16
Nova Scotia,Average hourly wage rate,Total employees,"Financial, secretarial and administrative occupations [B1-B3] ",Both sexes,15 years and over,36.42,35.65,36.73,35.9,35.76
Nova Scotia,Average hourly wage rate,Total employees,"Clerical occupations, including supervisors [B4-B5] ",Both sexes,15 years and over,20.96,21.41,21.1,21.49,21.36
Nova Scotia,Average hourly wage rate,Total employees,Natural and applied sciences and related occupations [C] ,Both sexes,15 years and over,30.71,29.97,28.91,30.09,30.6
Nova Scotia,Average hourly wage rate,Total employees,Health occupations [D] ,Both sexes,15 years and over,20.47,22.17,21.72,22.26,22.87
Nova Scotia,Average hourly wage rate,Total employees,"Professional occupations in health, nurse supervisors and registered nurses [D0-D1] ",Both sexes,15 years and over,18.98,18.96,19.05,19.07,18.86
Nova Scotia,Average hourly wage rate,Total employees,"Technical, assisting and related occupations in health [D2-D3] ",Both sexes,15 years and over,30.04,31.42,31.33,31.16,31.66
Nova Scotia,Average hourly wage rate,Total employees,"Occupations in social science, education, government service and religion [E] ",Both sexes,15 years and over,26.29,26.51,28.16,27.72,27.23
Nova Scotia,Average hourly wage rate,Total employees,"Occupations in social science, government service and religion [E0 E2] ",Both sexes,15 years and over,33.5,34.05,34.33,34.63,34.25
Nova Scotia,Average hourly wage rate,Total employees,Teachers and professors [E1 E130]  (9),Both sexes,15 years and over,21.33,21.18,22.54,22.23,22.07
Nova Scotia,Average hourly wage rate,Total employees,"Occupations in art, culture, recreation and sport [F] ",Both sexes,15 years and over,26.73,27.75,28,29.97,28.67
